Industry code,Industry name,Year,P10,P25,P50,P75,P90,Mean
16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2015,1500,15000,27000,48000,81000,37000
17,Manufacture of paper and paper products,2015,4000,7500,22500,40000,67000,31000
18,Printing and reproduction of recorded media,2015,3000,12500,25000,41000,66500,35000
19,Manufacture of coke and refined petroleum products,2015,0,6000,15000,75500,139500,64500
20,Manufacture of chemicals and chemical products,2015,8000,22000,43000,75000,132000,63000
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2015,3500,26500,43000,94500,107000,64000
22,Manufacture of rubber and plastic products,2015,7500,22500,36000,56500,87500,50000
23,Manufacture of other non-metallic mineral products,2015,5500,19500,31000,49500,69000,36500
24,Manufacture of basic metals,2015,20500,24000,29000,49500,95000,67500
25,"Manufacture of fabricated metal products, except machinery and equipment",2015,10500,20500,34500,51000,74000,43500
26,"Manufacture of computer, electronic and optical products",2015,-500,12000,29500,56000,95000,42500
27,Manufacture of electrical equipment,2015,10500,24500,35500,49500,92000,40000
28,Manufacture of machinery and equipment n.e.c.,2015,4000,15000,37000,62500,102000,51000
29,"Manufacture of motor vehicles, trailers and semi-trailers",2015,-3000,5000,25500,51500,98000,36000
30,Manufacture of other transport equipment,2015,0,18000,32000,65500,102000,47000
31,Manufacture of furniture,2015,9500,17500,28500,44500,71500,40000
32,Other manufacturing,2015,1000,12000,26000,50000,76500,34500
33,Repair and installation of machinery and equipment,2015,8500,17500,35000,51000,76000,40000
35,"Electricity, gas, steam and air conditioning supply",2015,1000,1000,9000,60000,257000,93500
36 to 37,"Water collection, treatment and supply and sewerage",2015,10500,28000,45000,72500,88000,52000
38 to 39,"Waste collection, treatment and disposal activities; Remediation activities and other waste management services",2015,12500,21500,48500,68000,131000,62500
41,Construction of buildings,2015,1000,13500,33000,78000,177500,76500
42,Civil engineering,2015,10000,21500,38000,61000,102000,52000
43,Specialised construction activities,2015,9000,18500,33000,58000,98000,50000
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2015,4500,13500,24500,42500,68000,37500
46,"Wholesale trade, except of motor vehicles and motorcycles",2015,500,10000,28000,57000,105000,48000
47,"Retail trade, except of motor vehicles and motorcycles",2015,0,5500,14500,28000,51500,21500
49,Land transport and transport via pipelines,2015,6000,15000,24500,39000,66500,35500
50,Water transport,2015,-1000,8000,22000,43000,82000,31500
51,Air transport,2015,-13000,6500,18000,62500,201000,60000
52,Warehousing and support activities for transportation,2015,6000,16000,34500,74000,155000,69000
53,Postal and courier activities,2015,6000,12000,19000,34500,55000,31000
55,Accommodation,2015,5500,11500,20000,36000,64500,33000
56,Food and beverage service activities,2015,3000,7500,13000,21500,33000,16500
58,Publishing activities,2015,0,9000,26000,60000,95000,40000
59,"Motion picture, video and television programme production, sound recording and music publishing activities",2015,4000,18500,38000,62500,92000,45500
60,Programming and broadcasting activities,2015,7500,15000,43000,88000,146000,65500
61,Telecommunications,2015,4000,18500,36000,54000,111500,53000
62,"Computer programming, consultancy and related activities",2015,9500,30000,55000,83000,115000,61500
63,Information service activities,2015,4500,10000,29500,60000,99000,43500
65,"Insurance, reinsurance and pension funding, except compulsory social security",2015,2500,22500,35000,71500,111000,69500
68,Real estate activities,2015,2000,13500,31500,65000,117500,61500
69,Legal and accounting activities,2015,9000,20500,37000,64000,104500,53000
70,Activities of head offices; management consultancy activities,2015,5000,20000,45500,82000,130500,62500
71,Architectural and engineering activities; technical testing and analysis,2015,11000,27500,45000,71000,105500,55500
72,Scientific research and development,2015,-5000,28500,45000,94000,107000,58000
73,Advertising and market research,2015,4000,18000,39000,69500,109000,54000
74,"Other professional, scientific and technical activities",2015,4000,16000,35500,62500,99500,50500
75,Veterinary activities,2015,12500,24000,39000,58500,75500,42500
77,Rental and leasing activities,2015,1000,11000,33000,77000,138000,62000
78,Employment activities,2015,4500,17000,35500,73500,126000,58500
79,"Travel agency, tour operator and other reservation service and related activities",2015,3000,13000,29000,84500,237000,87000
80,Security and investigation activities,2015,5000,12500,27500,49000,103000,51500
81,Services to buildings and landscape activities,2015,5000,10500,20500,38000,68000,34000
82,"Office administrative, office support and other business support activities",2015,3500,10500,27000,50000,92500,44000
85,Education,2015,500,7500,22000,37000,66000,29500
86,Human health activities,2015,10000,17000,32000,56000,94000,45000
87,Residential care activities,2015,2000,13000,19500,30500,45000,24500
88,Social work activities without accommodation,2015,-6000,500,10500,23500,52000,16000
90,"Creative, arts and entertainment activities",2015,1500,12000,30000,66500,113000,52000
91,"Libraries, archives, museums and other cultural activities",2015,-3000,3000,15500,28000,54500,23500
92,Gambling and betting activities,2015,4500,13500,25500,40000,81500,37000
93,Sports activities and amusement and recreation activities,2015,-500,4500,16000,37000,70000,36000
94,Activities of membership organisations,2015,-16500,-7500,2000,19500,50500,12500
95,Repair of computers and personal and household goods,2015,7000,16000,25000,37000,57500,29000
96,Other personal service activities,2015,6000,10500,17500,34500,62000,30500
1 to 3,"Agriculture, forestry and fishing",2016,0,8000,23500,53000,96000,39500
5 to 9,Mining and quarrying,2016,-2500,19500,49500,84000,169500,78000
10,Manufacture of food products,2016,3000,11000,20000,40000,88500,38000
11,Manufacture of beverages,2016,-3000,3000,18000,43500,81500,35500
13,Manufacture of textiles,2016,10500,15000,32000,48000,71000,35000
14,Manufacture of wearing apparel,2016,2000,12500,21000,61500,122500,42500
15,Manufacture of leather and related products,2016,9000,13000,32000,96500,162000,52500
16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2016,16000,24000,30500,41500,89000,42500
17,Manufacture of paper and paper products,2016,10000,16000,27000,50500,79500,36500
18,Printing and reproduction of recorded media,2016,2000,8000,23000,47000,74000,32500
19,Manufacture of coke and refined petroleum products,2016,14000,21000,39500,81500,211500,95500
20,Manufacture of chemicals and chemical products,2016,2500,22000,57000,83000,200000,90500
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2016,9500,19500,34000,110000,167000,71500
22,Manufacture of rubber and plastic products,2016,6500,23000,37500,62500,103000,54500
23,Manufacture of other non-metallic mineral products,2016,6000,17500,34000,51500,78500,40000
24,Manufacture of basic metals,2016,15500,28000,40000,83500,127000,60000
25,"Manufacture of fabricated metal products, except machinery and equipment",2016,7000,18000,35500,58000,85500,41500
26,"Manufacture of computer, electronic and optical products",2016,5000,12500,31500,68500,154000,68500
27,Manufacture of electrical equipment,2016,1000,18000,33000,75000,121000,67000
28,Manufacture of machinery and equipment n.e.c.,2016,7000,24000,38500,57500,96500,53500
29,"Manufacture of motor vehicles, trailers and semi-trailers",2016,5000,12500,25000,45500,68500,32000
30,Manufacture of other transport equipment,2016,1000,10500,26000,52000,60000,32000
31,Manufacture of furniture,2016,5000,13500,26000,42000,68000,34000
32,Other manufacturing,2016,1000,11500,26500,46500,79000,36000
33,Repair and installation of machinery and equipment,2016,8000,19500,35500,54000,75000,38500
35,"Electricity, gas, steam and air conditioning supply",2016,-1000,10500,23000,163500,293500,108000
36 to 37,"Water collection, treatment and supply and sewerage",2016,19500,29000,38500,49000,62500,61000
38 to 39,"Waste collection, treatment and disposal activities; Remediation activities and other waste management services",2016,9000,20500,43000,66000,113000,56500
41,Construction of buildings,2016,0,9500,23500,46000,98000,45000
42,Civil engineering,2016,14000,25500,49500,81000,145000,71500
43,Specialised construction activities,2016,10000,18500,31000,49000,74500,42000
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2016,4000,12500,25000,43000,61000,35500
46,"Wholesale trade, except of motor vehicles and motorcycles",2016,0,8500,23500,49500,95500,40000
47,"Retail trade, except of motor vehicles and motorcycles",2016,-1000,3500,13000,29500,46500,19000
49,Land transport and transport via pipelines,2016,4000,8500,16500,31000,54000,25000
50,Water transport,2016,-1000,3000,16500,60500,87000,43000
51,Air transport,2016,1500,5000,27000,101000,501000,102500
52,Warehousing and support activities for transportation,2016,4500,7000,19000,43500,73500,33000
53,Postal and courier activities,2016,5500,11000,19000,27000,48500,24000
55,Accommodation,2016,4500,12000,23000,38000,65500,33500
56,Food and beverage service activities,2016,1500,5500,10500,18000,25500,13000
58,Publishing activities,2016,1000,9000,25500,57500,89000,38500
59,"Motion picture, video and television programme production, sound recording and music publishing activities",2016,7000,19000,36000,63000,94000,53000
60,Programming and broadcasting activities,2016,6500,22000,34500,95500,148500,76500
61,Telecommunications,2016,7000,23000,44000,94000,176500,101500
62,"Computer programming, consultancy and related activities",2016,5000,18500,42000,63000,100500,49000
63,Information service activities,2016,6000,19000,36500,62500,84000,42000
65,"Insurance, reinsurance and pension funding, except compulsory social security",2016,-4000,20000,38500,77000,188500,117000
68,Real estate activities,2016,500,8500,29500,62500,114000,50000
69,Legal and accounting activities,2016,5500,24000,44500,81500,130000,62000
70,Activities of head offices; management consultancy activities,2016,5000,15000,33000,62500,110500,53000
71,Architectural and engineering activities; technical testing and analysis,2016,6500,18500,42000,63000,103500,48000
72,Scientific research and development,2016,5500,27000,43500,84000,174000,122000
73,Advertising and market research,2016,-500,7500,28000,69000,110000,52000
74,"Other professional, scientific and technical activities",2016,5000,17000,33000,67500,105000,50000
75,Veterinary activities,2016,17000,22500,37000,50000,64500,41000
77,Rental and leasing activities,2016,6000,19500,42500,77000,149000,66000
78,Employment activities,2016,10000,22500,41000,80000,105000,59500
79,"Travel agency, tour operator and other reservation service and related activities",2016,-3000,4000,16500,42500,110000,45500
80,Security and investigation activities,2016,10000,16500,28000,60000,161500,55000
81,Services to buildings and landscape activities,2016,4500,8000,18000,33500,63500,28500
82,"Office administrative, office support and other business support activities",2016,2500,8500,18500,39000,88000,52500
85,Education,2016,2000,4500,11500,30000,48500,20000
86,Human health activities,2016,6000,14500,24000,37000,61000,29500
87,Residential care activities,2016,5500,13500,20000,29500,49000,23000
88,Social work activities without accommodation,2016,-6000,500,9000,21000,39000,13500
90,"Creative, arts and entertainment activities",2016,3000,11000,45000,68000,109500,54000
91,"Libraries, archives, museums and other cultural activities",2016,-14500,0,12000,29000,58000,23000
92,Gambling and betting activities,2016,3000,10500,19000,38000,69500,30500
93,Sports activities and amusement and recreation activities,2016,-1500,4000,16000,38000,70500,26000
94,Activities of membership organisations,2016,-24000,-9000,2000,19500,56000,12000
95,Repair of computers and personal and household goods,2016,8000,15500,29000,55000,91500,42000
96,Other personal service activities,2016,5000,12500,19000,33500,55000,30500
